
Name                                           PackageFullName                                               
----                                           ---------------                                               
Microsoft.UI.Xaml.CBS                          Microsoft.UI.Xaml.CBS_9.2311.10002.0_x64__8wekyb3d8bbwe       
1527c705-839a-4832-9118-54d4Bd6a0c89           1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutra...
c5e2524a-ea46-4f67-841f-6a9465d9d515           c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.26100.1_neutral_n...
E2A4F912-2574-4A75-9BB0-0D023378592B           E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19640.1000_neutra...
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE           F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.26100.1_neutral_n...
Microsoft.AAD.BrokerPlugin                     Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutra...
Microsoft.AccountsControl                      Microsoft.AccountsControl_10.0.26100.1_neutral__cw5n1h2txyewy 
Microsoft.AsyncTextService                     Microsoft.AsyncTextService_10.0.26100.1_neutral__8wekyb3d8bbwe
Microsoft.BioEnrollment                        Microsoft.BioEnrollment_10.0.19587.1000_neutral__cw5n1h2txyewy
Microsoft.CredDialogHost                       Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2tx...
Microsoft.ECApp                                Microsoft.ECApp_10.0.26100.4061_neutral__8wekyb3d8bbwe        
Microsoft.LockApp                              Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy      
Microsoft.MicrosoftEdgeDevToolsClient          Microsoft.MicrosoftEdgeDevToolsClient_1000.25128.1000.0_neu...
Microsoft.Win32WebViewHost                     Microsoft.Win32WebViewHost_10.0.26100.1_neutral_neutral_cw5...
Microsoft.Windows.Apprep.ChxApp                Microsoft.Windows.Apprep.ChxApp_1000.25128.1000.0_neutral_n...
Microsoft.Windows.AssignedAccessLockApp        Microsoft.Windows.AssignedAccessLockApp_1000.25128.1000.0_n...
Microsoft.Windows.AugLoop.CBS                  Microsoft.Windows.AugLoop.CBS_1.1126.2131.0_x64__8wekyb3d8bbwe
Microsoft.Windows.CapturePicker                Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw...
Microsoft.Windows.CloudExperienceHost          Microsoft.Windows.CloudExperienceHost_10.0.26100.1_neutral_...
Microsoft.Windows.ContentDeliveryManager       Microsoft.Windows.ContentDeliveryManager_10.0.26100.1_neutr...
Microsoft.Windows.OOBENetworkCaptivePortal     Microsoft.Windows.OOBENetworkCaptivePortal_10.0.26100.1000_...
Microsoft.Windows.OOBENetworkConnectionFlow    Microsoft.Windows.OOBENetworkConnectionFlow_10.0.21302.1000...
Microsoft.Windows.ParentalControls             Microsoft.Windows.ParentalControls_1000.25128.1000.0_neutra...
Microsoft.Windows.PeopleExperienceHost         Microsoft.Windows.PeopleExperienceHost_10.0.26100.1_neutral...
Microsoft.Windows.PinningConfirmationDialog    Microsoft.Windows.PinningConfirmationDialog_1000.25140.1001...
Microsoft.Windows.PrintQueueActionCenter       Microsoft.Windows.PrintQueueActionCenter_1.0.2.0_neutral_ne...
Microsoft.Windows.SecureAssessmentBrowser      Microsoft.Windows.SecureAssessmentBrowser_10.0.26100.1_neut...
Microsoft.Windows.ShellExperienceHost          Microsoft.Windows.ShellExperienceHost_10.0.26100.3624_neutr...
Microsoft.Windows.StartMenuExperienceHost      Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4202_n...
Microsoft.Windows.XGpuEjectDialog              Microsoft.Windows.XGpuEjectDialog_10.0.26100.1_neutral_neut...
Microsoft.WindowsAppRuntime.CBS.1.6            Microsoft.WindowsAppRuntime.CBS.1.6_6000.498.2125.100_x64__...
Microsoft.WindowsAppRuntime.CBS                Microsoft.WindowsAppRuntime.CBS_5001.373.1736.100_x64__8wek...
Microsoft.XboxGameCallableUI                   Microsoft.XboxGameCallableUI_1000.25128.1000.0_neutral_neut...
MicrosoftWindows.54792954.Filons               MicrosoftWindows.54792954.Filons_1000.26100.4351.0_x64__cw5...
MicrosoftWindows.56978801.Voiess               MicrosoftWindows.56978801.Voiess_1000.26100.4351.0_x64__cw5...
MicrosoftWindows.57058570.Speion               MicrosoftWindows.57058570.Speion_1000.26100.4351.0_x64__cw5...
MicrosoftWindows.57074914.Livtop               MicrosoftWindows.57074914.Livtop_1000.26100.4351.0_x64__cw5...
MicrosoftWindows.Client.CBS                    MicrosoftWindows.Client.CBS_1000.26100.107.0_x64__cw5n1h2tx...
MicrosoftWindows.Client.CoreAI                 MicrosoftWindows.Client.CoreAI_1000.26100.4351.0_x64__cw5n1...
MicrosoftWindows.Client.Core                   MicrosoftWindows.Client.Core_1000.26100.46.0_x64__cw5n1h2tx...
MicrosoftWindows.Client.FileExp                MicrosoftWindows.Client.FileExp_1000.26100.3.0_x64__cw5n1h2...
MicrosoftWindows.Client.OOBE                   MicrosoftWindows.Client.OOBE_1000.26100.7.0_x64__cw5n1h2txyewy
MicrosoftWindows.Client.Photon                 MicrosoftWindows.Client.Photon_1000.26100.8.0_x64__cw5n1h2t...
MicrosoftWindows.UndockedDevKit                MicrosoftWindows.UndockedDevKit_10.0.26100.1_neutral_neutra...
Windows.CBSPreview                             Windows.CBSPreview_10.0.19580.1000_neutral_neutral_cw5n1h2t...
windows.immersivecontrolpanel                  windows.immersivecontrolpanel_10.0.8.1000_neutral_neutral_c...
Windows.PrintDialog                            Windows.PrintDialog_6.2.3.0_neutral_neutral_cw5n1h2txyewy     
Microsoft.Windows.NarratorQuickStart           Microsoft.Windows.NarratorQuickStart_10.0.26100.1_neutral_n...
Clipchamp.Clipchamp                            Clipchamp.Clipchamp_3.0.10220.0_neutral__yxz26nhyzhsrt        
Microsoft.ApplicationCompatibilityEnhancements Microsoft.ApplicationCompatibilityEnhancements_1.2401.10.0_...
Microsoft.AV1VideoExtension                    Microsoft.AV1VideoExtension_1.1.61781.0_x64__8wekyb3d8bbwe    
Microsoft.AVCEncoderVideoExtension             Microsoft.AVCEncoderVideoExtension_1.0.271.0_x64__8wekyb3d8...
Microsoft.BingNews                             Microsoft.BingNews_1.0.2.0_x64__8wekyb3d8bbwe                 
Microsoft.BingSearch                           Microsoft.BingSearch_1.0.79.0_x64__8wekyb3d8bbwe              
Microsoft.BingWeather                          Microsoft.BingWeather_3.2.9.0_x64__8wekyb3d8bbwe              
Microsoft.Edge.GameAssist                      Microsoft.Edge.GameAssist_1.0.3336.0_x64__8wekyb3d8bbwe       
Microsoft.GamingApp                            Microsoft.GamingApp_2402.900.28.0_x64__8wekyb3d8bbwe          
Microsoft.GetHelp                              Microsoft.GetHelp_10.2302.10601.0_x64__8wekyb3d8bbwe          
Microsoft.HEIFImageExtension                   Microsoft.HEIFImageExtension_1.0.63001.0_x64__8wekyb3d8bbwe   
Microsoft.HEVCVideoExtension                   Microsoft.HEVCVideoExtension_2.0.61931.0_x64__8wekyb3d8bbwe   
Microsoft.MicrosoftOfficeHub                   Microsoft.MicrosoftOfficeHub_18.2308.1034.0_x64__8wekyb3d8bbwe
